2013-11-06 11:41:17,342 [47] INFO  umbraco.presentation.publishingService - [Thread 89] test60 has been called with response: True
2013-11-06 11:42:17,270 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 69] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:42:17,326 [47] INFO  umbraco.presentation.publishingService - [Thread 89] test60 has been called with response: True
2013-11-06 11:43:17,296 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 91] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:43:17,389 [47] INFO  umbraco.presentation.publishingService - [Thread 32] test60 has been called with response: True
2013-11-06 11:44:17,275 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 58] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:44:17,615 [47] INFO  umbraco.presentation.publishingService - [Thread 23] test60 has been called with response: True
2013-11-06 11:45:17,274 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 76] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:45:17,326 [47] INFO  umbraco.presentation.publishingService - [Thread 32] test60 has been called with response: True
2013-11-06 11:46:17,342 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 93] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:46:17,429 [47] INFO  umbraco.presentation.publishingService - [Thread 76] test60 has been called with response: True
2013-11-06 12:43:21,644 [47] INFO  umbraco.cms.businesslogic.web.Document - [Thread 102] New document 1182
2013-11-06 12:43:57,470 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 24] Content 'Dictionary Service' with Id '1182' has been published.
2013-11-06 12:44:09,958 [47] INFO  umbraco.BusinessLogic.Log - [Thread 102] Log scrubbed.  Removed all items older than 2013-09-07 12:44:09
2013-11-06 12:44:09,960 [47] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 102] Application shutdown. Reason: ConfigurationChange
2013-11-06 12:44:19,001 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Determining hash of code files on disk
2013-11-06 12:44:19,018 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Hash determined (took 7ms)
2013-11-06 12:44:19,029 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2013-11-06 12:44:19,139 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 107ms)
2013-11-06 12:44:19,164 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2013-11-06 12:44:19,169 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 5ms)
2013-11-06 12:44:19,173 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2013-11-06 12:44:19,179 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 6ms)
2013-11-06 12:44:19,179 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2013-11-06 12:44:19,184 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 5ms)
2013-11-06 12:44:19,186 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2013-11-06 12:44:19,193 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 6ms)
2013-11-06 12:44:19,194 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2013-11-06 12:44:19,201 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 7ms)
2013-11-06 12:44:19,408 [100] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 116] Initializing Examine and binding to business logic events
2013-11-06 12:44:19,858 [100] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 116] Adding examine event handlers for index providers: 3
2013-11-06 12:44:19,869 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of umbraco.interfaces.IApplication
2013-11-06 12:44:19,877 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 7ms)
2013-11-06 12:44:19,936 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of umbraco.interfaces.ITree
2013-11-06 12:44:19,955 [100] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 18ms)
2013-11-06 12:44:49,322 [100] INFO  umbraco.content - [Thread 101] Loading content from disk cache...
2013-11-06 12:44:49,734 [100] INFO  Umbraco.Core.PluginManager - [Thread 101] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2013-11-06 12:44:49,740 [100] INFO  Umbraco.Core.PluginManager - [Thread 101] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 17 (took 6ms)
2013-11-06 12:44:50,554 [100] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 101] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 12:44:50,676 [100] INFO  Umbraco.Core.PluginManager - [Thread 101] Starting resolution types of umbraco.interfaces.IDataType
2013-11-06 12:44:50,692 [100] INFO  Umbraco.Core.PluginManager - [Thread 101] Completed resolution of types of umbraco.interfaces.IDataType, found 36 (took 15ms)
2013-11-06 12:44:50,701 [100] INFO  Umbraco.Core.PluginManager - [Thread 101] Starting resolution types of umbraco.interfaces.ITree
2013-11-06 12:44:50,717 [100] INFO  Umbraco.Core.PluginManager - [Thread 101] Completed resolution of types of umbraco.interfaces.ITree, found 36 (took 16ms)
2013-11-06 12:44:50,812 [100] INFO  Umbraco.Core.PluginManager - [Thread 101] Starting resolution types of umbraco.interfaces.ICacheRefresher
2013-11-06 12:44:50,822 [100] INFO  Umbraco.Core.PluginManager - [Thread 101] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 22 (took 9ms)
2013-11-06 12:44:50,871 [100] INFO  Umbraco.Core.PluginManager - [Thread 101] Starting resolution types of umbraco.BusinessLogic.Actions.IActionHandler
2013-11-06 12:44:50,877 [100] INFO  Umbraco.Core.PluginManager - [Thread 101] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 5ms)
2013-11-06 12:44:51,063 [100] INFO  umbraco.presentation.publishingService - [Thread 102] test60 has been called with response: True
2013-11-06 12:44:57,777 [100] INFO  umbraco.BusinessLogic.Log - [Thread 86] Log scrubbed.  Removed all items older than 2013-09-07 12:44:57
